"","jersey_number","name","games","games_started","minutes","points","fgm_2","fga_2","p2_perc","fgm_3","fga_3","p3_perc","fgm","fga","fg_perc","ftm","fta","ft_perc","dr","or","tr","as","st","to","bs","pf","ef","plus_minus","dbl_dbl","season","team"
"1","54","Bryant J. (C)",34,34,"31:04","18.2",6.3,11.1,"57.0%",0.8,2.8,"27.4%",7.1,13.9,"51.1%",3.3,4.3,"76.7%",8.3,2.4,10.7,3.7,0.5,2.6,1.4,2.4,"24.1",-1,0.6,"2017-2018","421-gie"
"2","11","Davis D. (PG)",28,25,"30:45","13.5",2.3,4.9,"46.0%",2.2,6.1,"35.7%",4.4,11,"40.3%",2.5,3.2,"78.7%",1.6,0.5,2.1,4.6,0.9,2.8,0,2.5,"11.2",-2.8,0,"2017-2018","421-gie"
"3","20","Hollins A. (SG)",29,22,"25:54","12.0",2.2,4.3,"51.2%",2,4.6,"43.3%",4.2,8.9,"47.1%",1.6,1.8,"90.2%",1.9,0.8,2.7,2,1.1,2,0.3,3.1,"11.2",-0.2,0,"2017-2018","421-gie"
"4","10","Landis M. (PG)",18,15,"25:33","11.2",1.6,3.6,"43.8%",2.1,4.5,"46.9%",3.7,8.1,"45.5%",1.7,2.2,"77.5%",1.2,0.4,1.6,2.4,0.6,1.4,0,2.5,"9.4",-2.4,0,"2017-2018","421-gie"
"5","13","Lischka B. (PF)",33,12,"23:05","10.3",2.5,4.3,"58.7%",0.8,2.2,"39.4%",3.4,6.5,"52.3%",2.6,3.3,"79.8%",3.2,0.7,3.9,1.9,0.3,1.6,0.2,2.9,"11.3",-1.6,0,"2017-2018","421-gie"
"6","23","Manigat J. (SG)",18,10,"27:29","10.2",1.6,3.4,"47.5%",1.3,4.2,"32.0%",2.9,7.6,"39.0%",2.9,3.2,"91.4%",2.2,0.8,3.1,3.1,1.2,1.4,0.3,2.1,"11.4",-1.1,0,"2017-2018","421-gie"
"7","21","Abrams J. (SF)",32,27,"23:17","10.2",2.1,3.6,"58.3%",1.4,3.6,"37.9%",3.5,7.2,"48.1%",1.8,2.3,"81.9%",3.3,1,4.3,1,0.4,1.3,0.2,2.6,"10.7",-1.3,0,"2017-2018","421-gie"
"8","5","Taylor J. (SG)",21,8,"20:34","6.7",1.3,3.3,"39.1%",0.8,3.1,"25.8%",2.1,6.4,"32.6%",1.7,2.2,"76.1%",3.6,1.3,4.9,2.1,0.7,1,0.1,2.5,"8.7",0,0,"2017-2018","421-gie"
"9","6","Agva M. (C)",34,12,"16:04","6.5",2.1,4.2,"49.7%",0.4,0.9,"37.5%",2.4,5.1,"47.4%",1.3,1.7,"72.9%",2.4,1.6,4,1.1,0.3,0.6,0.2,2,"8.3",-1.4,0.1,"2017-2018","421-gie"
"10","25","Marin M. (SG)",29,5,"14:27","4.5",0.7,1.5,"45.5%",0.9,2.1,"41.0%",1.6,3.6,"42.9%",0.5,0.6,"77.8%",0.5,0.2,0.7,0.8,0.4,0.8,0,1.7,"3.2",-1.2,0,"2017-2018","421-gie"
