"","jersey_number","first_name","last_name","dob","age","height","weight","position","nationality","last_team","season","team","standing"
"1","31","Robin"," Amaize ","31.01.1994","20","1.88m","80kg","SG","DEU","MTV 1846 Gießen","2012-2013","421-gie","18"
"2","22","Jimmy"," Baxter **","30.11.1980","33","1.98m","0kg","SF","USA","*bis 11/2012 im Kader","2012-2013","421-gie","18"
"3","6","Jeffrey "," Bonds **","14.05.1982","32","1.99m","0kg","SF","USA","*bis 01/2013 im Kader","2012-2013","421-gie","18"
"4","10","Andreas"," Büchert  ","06.10.1986","27","2.06m","110kg","C","DEU","Erdgas Ehingen (ProA)","2012-2013","421-gie","18"
"5","4","Sharaud"," Curry ","16.05.1987","27","1.78m","77kg","PG","USA","Mitteldeutscher BC","2012-2013","421-gie","18"
"6","21","Adrian"," Didovic ","21.12.1994","19","1.90m","85kg","PF","DEU","ratiopharm Ulm","2012-2013","421-gie","18"
"7","7","Oskar"," Faßler ","08.07.1988","26","1.98m","90kg","SG","DEU","TBB Trier","2012-2013","421-gie","18"
"8","6","John"," Fields **","30.03.1988","26","2.05m","0kg","PF","USA","* Bis 11/2012 im Kader","2012-2013","421-gie","18"
"9","6","Randall"," Hanke ","08.08.1984","30","2.11m","109kg","C","GBR","Norrköping Dolphins (SWE)","2012-2013","421-gie","18"
"10","4","Dijuan"," Harris **","13.11.1986","27","1.75m","79kg","PG","USA","*bis 01/2013 im Kader","2012-2013","421-gie","18"
"11","14","Benjamin"," Ortner **","16.03.1983","31","2.06m","105kg","C","AUT","* bis 10/2012 im Kader","2012-2013","421-gie","18"
"12","5","Elvir"," Ovcina ","16.07.1976","38","2.12m","116kg","C","BIH","Parklji Polzela (SLO)","2012-2013","421-gie","18"
"13","13","Max"," Pantke ","27.06.1993","21","1.94m","84kg","SF","DEU","VfB Giessen Pointers (ProB)","2012-2013","421-gie","18"
"14","17","Jasmin"," Perkovic **","15.12.1980","33","2.03m","115kg","PF","HRV","*bis 01/2013 im Kader","2012-2013","421-gie","18"
"15","","Max"," Pfannmüller ","01.05.1996","18","1.95m","76kg","SF","DEU","BBLZ Mittelhessen","2012-2013","421-gie","18"
"16","11","Robin"," Pflüger ","16.02.1993","21","1.93m","84kg","SG","DEU","MTV Gießen","2012-2013","421-gie","18"
"17","15","LaQuan"," Prowell **","01.11.1984","29","2.03m","0kg","PF","USA"," *bis 01/2013 im Kader","2012-2013","421-gie","18"
"18","9","Dominik"," Spohr ","24.04.1989","25","1.98m","98kg","SF","DEU","Phoenix Hagen","2012-2013","421-gie","18"
"19","44","Dominic"," Turudic ","12.03.1994","20","2.00m","95kg","C","DEU","MTV 1846 Gießen","2012-2013","421-gie","18"
"20","18","Jonas"," Weiser ","11.02.1993","21","1.79m","71kg","PG","DEU","MTV 1846 Gießen","2012-2013","421-gie","18"
"21","8","Achmadschah"," Zazai ","05.12.1986","27","1.75m","68kg","PG","DEU","s.Oliver Baskets","2012-2013","421-gie","18"
"22","21","Jonathan"," Apasu ","10.09.1992","21","1.96m","0kg","SF","DEU","SG Sechtem","2012-2013","415-bon","7"
"23","","Leon"," Bahner ","16.07.1995","19","2.07m","100kg","C","DEU","Telekom Baskets Bonn","2012-2013","415-bon","7"
"24","20","Max"," Dohmen ","29.01.1988","26","2.04m","96kg","PF","DEU","Schwelmer Baskets","2012-2013","415-bon","7"
"25","5","Chris"," Ensminger ","08.12.1973","40","2.08m","114kg","C","USA","Paderborn Baskets","2012-2013","415-bon","7"
"26","7","Patrick"," Ewing Junior **","20.05.1984","30","2.03m","107kg","PF","USA","*bis 12/2012 im Kader","2012-2013","415-bon","7"
"27","10","Jared"," Jordan ","14.10.1984","29","1.88m","87kg","PG","USA","VAP Kolossos (GRE)","2012-2013","415-bon","7"
"28","12","Florian"," Koch ","26.03.1992","22","1.97m","86kg","SF","DEU","Team Bonn/Rhöndorf (NBBL)","2012-2013","415-bon","7"
"29","8","Andrej"," Mangold ","14.01.1987","27","1.90m","93kg","PG","DEU","Artland Dragons","2012-2013","415-bon","7"
"30","4","David"," McCray ","06.11.1986","27","1.87m","85kg","PG","DEU","EnBW Ludwigsburg","2012-2013","415-bon","7"
"31","13","Jamel"," McLean ","18.04.1988","26","2.03m","104kg","PF","USA","Telindus Oostende (BEL)","2012-2013","415-bon","7"
"32","23","Luca"," Mertz ","03.09.1994","19","1.80m","75kg","PG","DEU","Telekom Baskets Bonn","2012-2013","415-bon","7"
"33","22","Joshua Ryan"," Mueller ","23.12.1982","31","1.80m","85kg","PG","USA","FC Bayern München","2012-2013","415-bon","7"
"34","9","Fabian"," Thülig ","21.09.1989","24","1.99m","92kg","SF","DEU","Telekom Baskets Bonn","2012-2013","415-bon","7"
"35","14","Robert"," Vaden ","03.03.1985","29","1.96m","93kg","SF","USA","BK Nitra (SLO)","2012-2013","415-bon","7"
"36","6","Benas"," Veikalas ","24.09.1983","30","1.92m","90kg","SG","LTU","BK Prostejov (CZE)","2012-2013","415-bon","7"
"37","11","Kyle"," Weems ","23.08.1989","24","1.98m","100kg","SF","USA","Missouri State (NCAA)","2012-2013","415-bon","7"
"38","15","Jonas"," Wohlfarth-Bottermann ","20.02.1990","24","2.08m","100kg","C","DEU","Team Bonn/Rhöndorf (NBBL)","2012-2013","415-bon","7"
"39","4","Kelly"," Beidler ","28.03.1988","26","1.99m","100kg","SF","USA","Karhu Kauhajoki (FIN)","2012-2013","428-mbc","16"
"40","5","Sharaud"," Curry **","16.05.1987","27","1.78m","77kg","PG","USA","*bis 01/2013 im Kader","2012-2013","428-mbc","16"
