"","jersey_number","name","games","games_started","minutes","points","fgm_2","fga_2","p2_perc","fgm_3","fga_3","p3_perc","fgm","fga","fg_perc","ftm","fta","ft_perc","dr","or","tr","as","st","to","bs","pf","ef","plus_minus","dbl_dbl","season","team"
"1","7","Brooks R. (SG)",39,5,"26:57","14.1",3.8,7.5,"50.9%",1.3,3.4,"37.1%",5.1,10.8,"46.6%",2.7,3.2,"84.0%",2.1,0.6,2.8,2,0.9,1.6,0.2,1.5,"12.0",1.9,0,"2013-2014","415-bon"
"2","15","McLean J. (PF)",38,38,"27:24","13.2",4.2,7.4,"56.9%",0.1,0.5,"21.1%",4.3,7.9,"54.7%",4.4,6.4,"69.8%",4.9,2.8,7.7,1.2,0.8,2,0.6,2.8,"16.2",0.4,0.2,"2013-2014","415-bon"
"3","6","Veikalas B. (SG)",39,39,"28:08","13.1",2,4,"49.4%",2,4.9,"40.6%",4,8.9,"44.5%",3.2,3.7,"84.3%",1.9,0.5,2.4,1.7,0.9,1.6,0.2,2.3,"11.1",-0.5,0,"2013-2014","415-bon"
"4","13","Gaffney T. (PF)",30,28,"30:32","10.9",3.3,6.2,"53.0%",0.7,3.6,"18.7%",3.9,9.7,"40.4%",2.3,3.1,"75.3%",4.2,1.3,5.5,1.2,1.3,1.2,1.2,1.6,"12.4",-0.2,0.1,"2013-2014","415-bon"
"5","10","Jordan J. (PG)",23,23,"33:13","10.0",2.7,4.7,"57.0%",1.3,3.4,"37.2%",3.9,8,"48.7%",1,1.6,"59.5%",3,0.5,3.6,7.8,1.6,1.9,0.2,2.5,"16.4",3.4,0,"2013-2014","415-bon"
"6","10","Lawrence E. (PG)",16,13,"29:14","9.9",1.6,4.1,"39.4%",1.5,3.7,"40.7%",3.1,7.8,"40.0%",2.1,2.8,"75.6%",2.6,0.6,3.2,6,0.8,2.6,0.1,2.8,"11.9",1.3,0.1,"2013-2014","415-bon"
"7","9","Zavackas D. (PF)",7,7,"29:47","9.1",1.4,3,"47.6%",1.3,4.3,"30.0%",2.7,7.3,"37.3%",2.4,3,"81.0%",3.6,0.7,4.3,2,0.4,1.3,0.1,2.7,"9.6",6.9,0,"2013-2014","415-bon"
"8","4","McCray D. (PG)",39,3,"14:21","4.7",1.4,2.6,"53.0%",0.5,2.3,"22.7%",1.9,4.8,"38.8%",0.5,1.1,"46.3%",1.1,0.2,1.2,1,0.4,1.1,0,2.6,"2.7",-0.7,0,"2013-2014","415-bon"
"9","5","Looby K. (C)",39,3,"14:50","4.4",1.7,2.9,"59.1%",0,0,"0.0%",1.7,2.9,"59.1%",0.9,1.6,"53.1%",2.3,1.6,3.9,0.1,0.3,0.5,0.9,2.3,"7.0",-1.3,0,"2013-2014","415-bon"
"10","8","Mangold A. (PG)",39,34,"17:24","4.1",0.4,1.4,"27.8%",0.9,2.7,"33.0%",1.3,4.1,"31.3%",0.6,0.9,"64.9%",1.4,0.5,1.9,0.9,0.6,0.6,0,2.9,"3.7",-0.1,0,"2013-2014","415-bon"
"11","14","Wachalski S. (PF)",38,2,"10:16","3.8",0.5,1,"54.1%",0.8,2,"38.7%",1.3,2.9,"43.8%",0.4,0.7,"65.4%",1.2,0.6,1.7,0.3,0.3,0.5,0.2,1.3,"4.0",0.9,0,"2013-2014","415-bon"
"12","11","Wolf E. (C)",9,0,"04:54","2.2",0.4,0.8,"57.1%",0.3,0.9,"37.5%",0.8,1.7,"46.7%",0.3,0.4,"75.0%",0.4,0.2,0.7,0,0,0.1,0,0.8,"1.8",3.3,0,"2013-2014","415-bon"
"13","12","Koch F. (SF)",32,0,"04:43","0.9",0.2,0.8,"24.0%",0.1,0.5,"20.0%",0.3,1.3,"22.5%",0.2,0.3,"87.5%",0.4,0.2,0.5,0.1,0.1,0.4,0,0.9,"0.2",0,0,"2013-2014","415-bon"
"14","18","Blass V. (SG)",3,0,"00:56","0.7",0.3,0.7,"50.0%",0,0,"0.0%",0.3,0.7,"50.0%",0,0,"0.0%",0,0,0,0,0,0,0,0,"0.3",0.7,0,"2013-2014","415-bon"
"15","16","Michel T. (PF)",1,0,"00:41","0.0",0,0,"0.0%",0,0,"0.0%",0,0,"0.0%",0,0,"0.0%",0,0,0,0,0,0,0,0,"0.0",2,0,"2013-2014","415-bon"
"16","32","Caloiaro A. (PF)",34,30,"31:16","14.3",3.3,5.6,"58.4%",1.4,4.1,"34.5%",4.7,9.7,"48.3%",3.6,4.6,"76.6%",5.2,1.6,6.8,2.2,1.1,1.3,0.2,1.8,"17.2",-0.7,0.1,"2013-2014","428-mbc"
"17","23","Parker A. (PG)",28,22,"27:08","13.8",2.2,5.3,"42.2%",2.2,5.8,"37.4%",4.4,11.1,"39.7%",2.8,3.8,"73.6%",1.4,0.8,2.2,1.9,0.8,2,0,1.6,"8.9",-3,0,"2013-2014","428-mbc"
"18","9","Hatten M. (PG)",25,25,"32:44","13.6",3.6,6.9,"52.3%",1.2,4.2,"28.6%",4.8,11.1,"43.3%",2.8,3.3,"84.3%",3,0.8,3.8,5,2.2,2.6,0.3,3.1,"15.4",1.6,0,"2013-2014","428-mbc"
"19","15","Cuffee M. (SF)",25,25,"27:36","13.2",3.9,6.5,"59.9%",1.3,4.2,"31.4%",5.2,10.7,"48.7%",1.5,1.7,"86.1%",2.8,1.4,4.2,1.2,0.3,1.8,0.1,2.7,"11.6",-1.6,0,"2013-2014","428-mbc"
"20","11","Kovacevic H. (SG)",28,27,"27:10","9.4",2.6,5.2,"49.7%",1.1,3.3,"34.1%",3.7,8.4,"43.6%",1,1.5,"64.3%",2.2,0.8,3,1.7,0.9,1.8,0.2,2.4,"8.3",-2.2,0,"2013-2014","428-mbc"
"21","6","Schwarz M. (SG)",34,1,"20:09","7.4",0.4,1.2,"36.6%",1.7,5.5,"31.4%",2.2,6.7,"32.3%",1.3,1.6,"81.1%",0.7,0.2,0.9,1.1,0.4,0.7,0.1,1.6,"4.3",-2.7,0,"2013-2014","428-mbc"
"22","12","Pantelic D. (C)",33,32,"23:09","6.5",1.7,3.2,"53.8%",0.5,2,"26.9%",2.3,5.2,"43.4%",1.4,2.2,"66.2%",3.4,1.9,5.2,1.5,0.7,1.1,1.3,2.7,"10.4",-0.4,0,"2013-2014","428-mbc"
"23","33","Meiers M. (C)",30,2,"15:44","6.4",2.3,4.8,"48.3%",0,0.1,"50.0%",2.3,4.8,"48.3%",1.7,2.4,"73.2%",2.2,0.9,3.1,0.4,0.3,0.9,1.1,3.5,"7.4",-1.2,0,"2013-2014","428-mbc"
"24","25","Clay O. (PF)",14,2,"09:43","3.1",1.2,1.9,"65.4%",0,0.2,"0.0%",1.2,2.1,"58.6%",0.7,1.6,"43.5%",1.1,0.9,2,0.2,0.1,0.4,0.1,1.5,"3.3",-2.6,0,"2013-2014","428-mbc"
"25","16","Leutloff S. (SF)",34,0,"12:06","2.5",0.9,2,"43.5%",0.1,0.5,"18.8%",1,2.5,"38.8%",0.5,0.8,"63.0%",1.1,0.9,1.9,0.4,0.3,0.7,0,1.5,"2.7",-3.3,0,"2013-2014","428-mbc"
"26","8","Simon W. (PF)",17,2,"04:44","1.2",0.2,0.8,"21.4%",0.2,0.2,"100.0%",0.4,1,"35.3%",0.3,0.5,"62.5%",0.2,0.1,0.3,0.1,0.1,0.1,0.1,0.8,"0.8",-3.9,0,"2013-2014","428-mbc"
"27","19","Hain D. (PG)",29,2,"07:48","0.5",0,0.1,"0.0%",0.2,0.6,"29.4%",0.2,0.7,"26.3%",0,0,"0.0%",0.3,0.1,0.4,0.6,0.2,1,0.1,1.6,"0.3",-2.3,0,"2013-2014","428-mbc"
"28","4","Swann I. (SG)",34,34,"32:16","17.9",2.7,5.6,"48.7%",2.6,7.5,"35.2%",5.4,13.1,"40.9%",4.5,5.1,"88.0%",3.7,0.4,4.2,3.4,1,3.1,0.1,2.8,"15.1",-2,0,"2013-2014","422-bra"
"29","7","Visser K. (C)",33,32,"26:14","13.2",5.5,8.8,"62.5%",0,0.1,"0.0%",5.5,8.9,"61.7%",2.2,3.1,"70.3%",3,2.6,5.6,1,0.7,1.9,0.7,3.3,"14.9",-1.2,0.1,"2013-2014","422-bra"
"30","10","Florence J. (PG)",32,32,"31:15","12.6",2.7,5.7,"47.5%",1.8,5.3,"32.9%",4.5,11,"40.5%",1.9,2.3,"80.0%",2,0.4,2.3,3.3,1.3,2.5,0.2,3,"10.1",-1,0,"2013-2014","422-bra"
"31","23","McElroy I. (SF)",33,33,"32:24","10.9",3.1,5.5,"56.1%",0.8,2.5,"31.7%",3.8,7.9,"48.5%",2.5,3.2,"77.1%",2.6,1.2,3.8,3.2,0.7,1.6,0,2,"12.2",-3.7,0,"2013-2014","422-bra"
"32","11","Doornekamp A. (SF)",34,31,"29:20","8.8",1.5,3,"50.5%",1.6,4.3,"37.4%",3.1,7.3,"42.7%",0.9,1.2,"78.1%",4.4,1.3,5.7,1.9,1.4,0.9,0.2,3.1,"12.7",-1.6,0.2,"2013-2014","422-bra"
"33","8","Nana H. (PF)",23,3,"23:38","8.0",2.1,4.9,"43.8%",0.7,1.9,"37.2%",2.8,6.7,"41.9%",1.7,2.2,"76.5%",4.1,0.9,5,1.2,0.8,1.4,0.3,2.1,"9.6",-4.7,0,"2013-2014","422-bra"
"34","35","Kadji  K. (PF)",5,0,"15:23","6.2",1.4,3.6,"38.9%",0.6,1.8,"33.3%",2,5.4,"37.0%",1.6,2.2,"72.7%",2.8,0.8,3.6,0,0.2,1.6,0.6,2,"5.0",-3.8,0,"2013-2014","422-bra"
"35","5","Kulawick R. (SG)",34,1,"13:56","3.3",0.4,0.6,"65.0%",0.8,2.9,"27.8%",1.2,3.4,"34.2%",0.2,0.3,"60.0%",1.1,0.2,1.4,0.4,0.2,0.4,0,1.4,"2.6",-3,0,"2013-2014","422-bra"
"36","12","Manigat W. (PG)",2,0,"07:57","3.0",1,2,"50.0%",0,1,"0.0%",1,3,"33.3%",1,1,"100.0%",0,0,0,0,1,0.5,0,2,"1.5",2,0,"2013-2014","422-bra"
"37","6","Zazai A. (PG)",27,2,"10:39","2.3",0.6,1.4,"41.0%",0.1,0.3,"33.3%",0.7,1.8,"39.6%",0.7,1,"76.9%",0.8,0.1,0.9,1.3,0.4,0.8,0,2,"2.8",-2.2,0,"2013-2014","422-bra"
"38","17","Pluskota M. (PF)",23,2,"09:17","2.0",0.7,1.2,"57.1%",0,0,"0.0%",0.7,1.2,"57.1%",0.7,0.9,"75.0%",1.3,0.5,1.8,0,0.3,0.4,0.3,1.7,"3.3",-2.4,0,"2013-2014","422-bra"
"39","18","Wenzel B. (PF)",2,0,"03:42","2.0",0.5,1,"50.0%",0,0.5,"0.0%",0.5,1.5,"33.3%",1,1,"100.0%",0.5,0,0.5,0.5,0.5,0,0,0.5,"2.5",-2,0,"2013-2014","422-bra"
